ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1791728	0.00000721	1.52e-10	1.01e+01	13.06771	1.65	394953809	SLC25A25	solute carrier family 25 member 25
ILMN_1775743	0.00110995	4.69e-08	-7.54	8.22635	-7.50e-01	209447059	BTG1	BTG anti-proliferation factor 1
ILMN_1812777	0.00190401	1.70e-07	7.01	7.09735	6.08e-01	169636426	MRPL35	mitochondrial ribosomal protein L35
ILMN_1800512	0.00190401	2.40e-07	-6.88	6.79302	-2.05	298676487	HMOX1	heme oxygenase 1
ILMN_1794132	0.00190401	2.51e-07	6.86	6.75382	3.33e-01	291490669	NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8
ILMN_3235168	0.00190401	2.80e-07	6.82	6.658	5.50e-01	171542820	MUL1	mitochondrial E3 ubiquitin protein ligase 1
ILMN_1704629	0.00190401	2.91e-07	6.80	6.62135	5.50e-01	567316197	SLC1A7	solute carrier family 1 member 7
ILMN_1655612	0.00190401	3.22e-07	-6.76	6.5333	-1.27	18373304	ARRDC2	arrestin domain containing 2
ILMN_2186061	0.00202449	4.20e-07	-6.66	6.29787	-2.44	223941849	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
ILMN_1715718	0.00202449	4.28e-07	6.65	6.28101	5.17e-01	42794621	ZNF784	zinc finger protein 784
ILMN_1782069	0.00236083	5.49e-07	6.55	6.05977	2.42e-01	388454106	TRAK1	trafficking kinesin protein 1
ILMN_1676984	0.00302074	7.66e-07	6.42	5.76256	5.50e-01	304282232	DDIT3	DNA damage inducible transcript 3
ILMN_1660847	0.00302074	8.58e-07	-6.38	5.66144	-1.76	223941849	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
ILMN_1700896	0.00302074	8.94e-07	-6.36	5.62541	-3.92e-01	91208440	SAP30	Sin3A associated protein 30
ILMN_1782050	0.00309304	9.80e-07	-6.32	5.54274	-2.15	125661056	CEBPD	CCAAT/enhancer binding protein delta
ILMN_1810214	0.00342148	1.16e-06	6.26	5.39395	4.67e-01	558695422	JUND	JunD proto-oncogene, AP-1 transcription factor subunit
ILMN_1685112	0.00342148	1.25e-06	6.23	5.32655	4.08e-01	289802993	TACO1	translational activator of cytochrome c oxidase I
ILMN_1717485	0.00342148	1.36e-06	-6.20	5.25157	-8.75e-01	NA		
ILMN_1708041	0.00342148	1.37e-06	6.19	5.24132	9.42e-01	153791376	PLEKHF1	pleckstrin homology and FYVE domain containing 1
ILMN_1792681	0.00382727	1.62e-06	-6.13	5.09202	-5.50e-01	153791291	CCDC86	coiled-coil domain containing 86
ILMN_1783497	0.00382727	1.70e-06	6.11	5.05142	3.92e-01	328887888	PANK1	pantothenate kinase 1
ILMN_1773117	0.00427852	2.02e-06	-6.05	4.898	-5.92e-01	183396781	BCOR	BCL6 corepressor
ILMN_1697448	0.00427852	2.09e-06	-6.03	4.86711	-1.22	928192547	TXNIP	thioredoxin interacting protein
ILMN_1672004	0.00427852	2.24e-06	6.01	4.80216	1.00	345197214	TOB1	transducer of ERBB2, 1
ILMN_1787567	0.00427852	2.35e-06	-5.99	4.76043	-1.14	345090982	TSC22D1	TSC22 domain family member 1
ILMN_2152429	0.00427852	2.48e-06	-5.97	4.71298	-6.08e-01	756398276	C12orf76	chromosome 12 open reading frame 76
ILMN_1714567	0.00427852	2.52e-06	-5.96	4.6989	-6.08e-01	427918085	AHNAK	AHNAK nucleoprotein
ILMN_1731714	0.00427852	2.53e-06	5.96	4.69354	3.25e-01	757813192	CREB5	cAMP responsive element binding protein 5
ILMN_2234310	0.00474855	2.92e-06	5.90	4.56442	4.92e-01	71274149	CPTP	ceramide-1-phosphate transfer protein
ILMN_1681325	0.00474855	3.01e-06	5.89	4.53798	3.33e-01	NA		
ILMN_1655307	0.00501387	3.28e-06	5.86	4.45966	4.67e-01	189491674	FAM136A	family with sequence similarity 136 member A
ILMN_2262444	0.00501895	3.39e-06	5.85	4.43021	4.75e-01	NA		
ILMN_1780756	0.00551398	3.89e-06	5.79	4.30696	2.25e-01	116734693	RBM23	RNA binding motif protein 23
ILMN_1855278	0.00551398	3.96e-06	-5.79	4.29109	-5.42e-01	8143882		
ILMN_3304111	0.00565748	4.18e-06	-5.77	4.24189	-5.00e-01	NA		
ILMN_1777906	0.00571345	4.47e-06	5.74	4.18302	3.42e-01	556503437	MAP7D1	MAP7 domain containing 1
ILMN_3200330	0.00571345	4.47e-06	5.74	4.18302	3.42e-01	NA		
ILMN_2415144	0.00585195	4.70e-06	-5.72	4.13745	-2.92e-01	190343007	SP110	SP110 nuclear body protein
ILMN_1807044	0.00590257	4.86e-06	5.71	4.1063	3.58e-01	55770883	UBAC1	UBA domain containing 1
ILMN_1815682	0.00644016	5.44e-06	5.67	4.00498	3.25e-01	54607103	HMCES	5-hydroxymethylcytosine (hmC) binding, ES cell-specific
ILMN_2182531	0.00674231	5.89e-06	5.64	3.93435	4.17e-01	156142175	TIMM21	translocase of inner mitochondrial membrane 21
ILMN_1771139	0.00674231	6.07e-06	-5.63	3.90715	-3.50e-01	544186105	FBXO31	F-box protein 31
ILMN_1679134	0.00674231	6.13e-06	-5.62	3.89848	-5.42e-01	269846903	NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component
ILMN_1803988	0.00688022	6.40e-06	-5.61	3.8595	-3.92e-01	309747064	MCL1	BCL2 family apoptosis regulator
ILMN_2081335	0.007329	6.97e-06	5.57	3.78226	3.33e-01	386642918	COA1	cytochrome c oxidase assembly factor 1 homolog
ILMN_2160764	0.00793015	7.71e-06	-5.54	3.69131	-4.67e-01	47834345	HBP1	HMG-box transcription factor 1
ILMN_3243961	0.00813484	8.08e-06	5.52	3.6489	5.50e-01	190610030	ZNF252P	zinc finger protein 252, pseudogene
ILMN_1801822	0.00817424	8.29e-06	5.51	3.62554	4.75e-01	116292175	C18orf25	chromosome 18 open reading frame 25
ILMN_1715088	0.00827009	8.56e-06	5.50	3.59641	3.83e-01	25952091	KCNA7	potassium voltage-gated channel subfamily A member 7
ILMN_1656225	0.00839145	8.87e-06	5.48	3.56502	3.08e-01	51491913	DUPD1	dual specificity phosphatase and pro isomerase domain containing 1
ILMN_3307791	0.00840451	9.35e-06	5.46	3.51686	3.25e-01	356582443	FAM69A	family with sequence similarity 69 member A
ILMN_2375879	0.00840451	9.47e-06	5.46	3.50562	6.08e-01	284172448	VEGFA	vascular endothelial growth factor A
ILMN_1671265	0.00840451	9.52e-06	5.46	3.5008	4.50e-01	634743237	ING2	inhibitor of growth family member 2
ILMN_1794598	0.00840451	9.93e-06	-5.44	3.46311	-1.04	308193342	SCHIP1	schwannomin interacting protein 1
ILMN_2048607	0.00840451	9.94e-06	5.44	3.46189	6.75e-01	50355986	ANKRD9	ankyrin repeat domain 9
ILMN_1663092	0.00840451	9.95e-06	-5.44	3.46127	-9.00e-01	388890231	CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
ILMN_1774427	0.0085754	1.06e-05	-5.42	3.4073	-3.67e-01	219521891	CALCOCO1	calcium binding and coiled-coil domain 1
ILMN_2225974	0.0085754	1.06e-05	-5.42	3.40576	-5.75e-01	821325132	GCLM	glutamate-cysteine ligase modifier subunit
ILMN_1655244	0.0085754	1.07e-05	5.41	3.39474	3.08e-01	NA		
ILMN_1695354	0.0085754	1.09e-05	-5.41	3.38076	-1.58e-01	51558692	BMF	Bcl2 modifying factor
ILMN_1737988	0.00888498	1.15e-05	-5.39	3.33378	-1.22	122056622	PRNP	prion protein
ILMN_1724162	0.008947	1.17e-05	5.38	3.3128	3.58e-01	169790795	ARX	aristaless related homeobox
ILMN_1766000	0.00941313	1.25e-05	-5.35	3.25243	-3.58e-01	444299641	PM20D2	peptidase M20 domain containing 2
ILMN_1805665	0.00946637	1.30e-05	5.34	3.22255	3.58e-01	301129216	FLRT3	fibronectin leucine rich transmembrane protein 3
ILMN_3307738	0.00946637	1.30e-05	5.34	3.21908	1.01	529250157	FSD2	fibronectin type III and SPRY domain containing 2
ILMN_1774077	0.00964698	1.35e-05	-5.33	3.18819	-8.58e-01	520975408	GBP2	guanylate binding protein 2
ILMN_2308849	0.01005811	1.46e-05	5.30	3.11654	7.17e-01	589269134	MYADM	myeloid associated differentiation marker
ILMN_1733562	0.01005811	1.46e-05	5.29	3.11605	3.00e-01	315013580	TFB1M	transcription factor B1, mitochondrial
ILMN_1884146	0.01005811	1.47e-05	5.29	3.11025	2.08e-01	27837981		
ILMN_1728197	0.0102664	1.52e-05	-5.28	3.07566	-8.67e-01	195947371	CLDN5	claudin 5
ILMN_1742230	0.0102664	1.54e-05	-5.27	3.06586	-7.00e-01	32967604	BAZ1A	bromodomain adjacent to zinc finger domain 1A
ILMN_1757882	0.01036033	1.58e-05	5.26	3.04375	8.67e-01	1043392477	PPP1R16A	protein phosphatase 1 regulatory subunit 16A
ILMN_1718770	0.01036033	1.60e-05	5.26	3.03249	7.75e-01	195963407	MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator
ILMN_1800855	0.01050104	1.65e-05	5.25	3.00228	7.00e-01	21281678	PPTC7	PTC7 protein phosphatase homolog
ILMN_1804812	0.01050104	1.66e-05	5.24	2.99583	6.92e-01	359338995	ANAPC1	anaphase promoting complex subunit 1
ILMN_1797728	0.01064395	1.71e-05	5.23	2.97162	3.25e-01	387849460	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1
ILMN_2117223	0.01083166	1.76e-05	-5.22	2.94397	-4.25e-01	349732177	PTBP3	polypyrimidine tract binding protein 3
ILMN_1672589	0.0109695	1.81e-05	-5.21	2.92084	-3.42e-01	155029563	SEMA4B	semaphorin 4B
ILMN_1750062	0.01118223	1.87e-05	5.20	2.89193	1.09	116284374	PPARGC1A	PPARG coactivator 1 alpha
ILMN_1692785	0.01133959	1.92e-05	-5.19	2.8679	-7.67e-01	732662993	KLHL21	kelch like family member 21
ILMN_1730568	0.01141386	1.95e-05	5.18	2.85074	3.67e-01	224493955	ZDHHC7	zinc finger DHHC-type containing 7
ILMN_1674243	0.01156996	2.01e-05	5.17	2.8252	1.53	927928762	TFRC	transferrin receptor
ILMN_1707553	0.01156996	2.03e-05	-5.17	2.81636	-2.33e-01	334724472	GAREM1	GRB2 associated regulator of MAPK1 subtype 1
ILMN_1799367	0.01158513	2.06e-05	5.17	2.80433	2.67e-01	315013585	TMX2	thioredoxin related transmembrane protein 2
ILMN_1725862	0.01168039	2.12e-05	-5.15	2.77738	-2.25e-01	375493563	USP3	ubiquitin specific peptidase 3
ILMN_1790529	0.01168039	2.13e-05	5.15	2.77265	7.42e-01	61742794	LUM	lumican
ILMN_1695423	0.01168039	2.18e-05	5.14	2.75028	4.00e-01	319738657	CD9	CD9 molecule
ILMN_1690733	0.01168039	2.20e-05	-5.14	2.74518	-5.58e-01	972776326	EGF	epidermal growth factor
ILMN_1736863	0.01168039	2.20e-05	-5.14	2.74456	-7.83e-01	512749781	TMEM140	transmembrane protein 140
ILMN_1737308	0.0118861	2.26e-05	-5.13	2.71864	-8.92e-01	169646771	GLRX	glutaredoxin
ILMN_1785892	0.01191262	2.30e-05	5.12	2.70305	4.58e-01	294997264	MASP1	mannan binding lectin serine peptidase 1
ILMN_2147105	0.01191262	2.32e-05	-5.12	2.69671	-3.67e-01	NA		
ILMN_1788547	0.01224215	2.41e-05	-5.11	2.66221	-8.17e-01	821325132	GCLM	glutamate-cysteine ligase modifier subunit
ILMN_1739083	0.0125645	2.50e-05	-5.09	2.62898	-3.08e-01	215982795	SIRT1	sirtuin 1
ILMN_1668960	0.01307896	2.63e-05	-5.07	2.58303	-8.58e-01	544186084	MID1IP1	MID1 interacting protein 1
ILMN_1715181	0.01311924	2.71e-05	-5.06	2.55346	-6.00e-01	18373304	ARRDC2	arrestin domain containing 2
ILMN_1787526	0.01311924	2.75e-05	5.06	2.54099	4.00e-01	110349741	C2orf88	chromosome 2 open reading frame 88
ILMN_2364022	0.01311924	2.75e-05	5.06	2.54044	1.32	332800975	SLC16A3	solute carrier family 16 member 3
ILMN_1773395	0.01311924	2.75e-05	5.06	2.54028	6.08e-01	197927093	RDH5	retinol dehydrogenase 5
ILMN_1806403	0.01311924	2.77e-05	5.05	2.53378	6.67e-01	808154172	RASL12	RAS like family 12
ILMN_1753265	0.01324113	2.83e-05	-5.05	2.51638	-3.00e-01	756398276	C12orf76	chromosome 12 open reading frame 76
ILMN_1655734	0.01345936	2.90e-05	-5.04	2.49264	-3.17e-01	145275209	RPF1	ribosome production factor 1 homolog
ILMN_2052208	0.01354225	2.95e-05	-5.03	2.47823	-2.08	315075321	GADD45A	growth arrest and DNA damage inducible alpha
ILMN_1654268	0.01373228	3.02e-05	-5.02	2.45685	-4.83e-01	194688131	HMGB2	high mobility group box 2
ILMN_1718972	0.01386075	3.08e-05	5.01	2.43974	5.42e-01	733605431	MFSD3	major facilitator superfamily domain containing 3
ILMN_1775170	0.01394829	3.14e-05	-5.01	2.42053	-8.58e-01	194239656	MT1X	metallothionein 1X
ILMN_1802611	0.01394829	3.16e-05	-5.00	2.41638	-4.75e-01	14790189	SPEN	spen family transcriptional repressor
ILMN_1755075	0.01394829	3.18e-05	5.00	2.40809	5.25e-01	963645845	IDI1	isopentenyl-diphosphate delta isomerase 1
ILMN_2412380	0.01394829	3.21e-05	-5.00	2.40015	-6.83e-01	345090977	TSC22D1	TSC22 domain family member 1
ILMN_2341690	0.01406785	3.28e-05	4.99	2.38142	2.75e-01	571330770	ELP5	elongator acetyltransferase complex subunit 5
ILMN_1758146	0.01406785	3.30e-05	-4.99	2.37593	-3.42e-01	91105766	SIRPA	signal regulatory protein alpha
ILMN_1686664	0.01412626	3.34e-05	-4.98	2.36404	-1.93	205277384	MT2A	metallothionein 2A
ILMN_1666364	0.01413492	3.38e-05	4.98	2.35543	7.33e-01	151101383	COQ10A	coenzyme Q10A
ILMN_2410182	0.01421093	3.42e-05	-4.97	2.34258	-8.75e-01	543583731	BEST3	bestrophin 3
ILMN_1813236	0.01425996	3.47e-05	4.97	2.33154	6.33e-01	238624192	C6orf136	chromosome 6 open reading frame 136
ILMN_2316918	0.0142859	3.50e-05	4.97	2.32204	6.75e-01	328887887	PANK1	pantothenate kinase 1
ILMN_1782459	0.01438988	3.56e-05	-4.96	2.30769	-3.25e-01	51243031	OSBPL8	oxysterol binding protein like 8
ILMN_1735052	0.01455936	3.65e-05	-4.95	2.28483	-4.42e-01	225637564	ULK1	unc-51 like autophagy activating kinase 1
ILMN_1748916	0.01455936	3.66e-05	4.95	2.28171	3.92e-01	156142175	TIMM21	translocase of inner mitochondrial membrane 21
ILMN_1777740	0.01480441	3.75e-05	4.94	2.25899	5.17e-01	83776601	THEM6	thioesterase superfamily member 6
ILMN_1795228	0.01480525	3.81e-05	-4.93	2.24491	-6.25e-01	503775740	ZFAND5	zinc finger AN1-type containing 5
ILMN_3231638	0.01480525	3.83e-05	-4.93	2.24045	-3.75e-01	205277426	FAM160B1	family with sequence similarity 160 member B1
ILMN_1812489	0.01480525	3.93e-05	4.92	2.21855	7.75e-01	985801705	CEP85	centrosomal protein 85
ILMN_1808238	0.01480525	3.93e-05	4.92	2.21771	3.42e-01	34915989	RBPMS2	RNA binding protein with multiple splicing 2
ILMN_1718769	0.01480525	3.93e-05	4.92	2.21771	3.42e-01	47717124	ITSN1	intersectin 1
ILMN_2397954	0.01480525	3.94e-05	4.92	2.21469	4.67e-01	729042216	PARP3	poly(ADP-ribose) polymerase family member 3
ILMN_1670695	0.01483761	3.99e-05	-4.92	2.20321	-2.17e-01	635574576	BACH2	BTB domain and CNC homolog 2
ILMN_1687768	0.01483761	4.02e-05	-4.91	2.1962	-3.08e-01	314122155	NCOA7	nuclear receptor coactivator 7
ILMN_1781419	0.01483761	4.04e-05	4.91	2.19138	2.67e-01	218505700	HIKESHI	Hikeshi, heat shock protein nuclear import factor
ILMN_1795856	0.01497557	4.11e-05	-4.90	2.17598	-3.67e-01	NA		
ILMN_1812262	0.01506738	4.17e-05	-4.90	2.16349	-3.92e-01	83977449	DDR1	discoidin domain receptor tyrosine kinase 1
ILMN_1798181	0.01514927	4.23e-05	-4.89	2.15168	-4.00e-01	98985817	IRF7	interferon regulatory factor 7
ILMN_1694075	0.01537999	4.32e-05	-4.89	2.13113	-1.87	315075321	GADD45A	growth arrest and DNA damage inducible alpha
ILMN_2349061	0.0156097	4.42e-05	-4.88	2.11089	-2.33e-01	98985817	IRF7	interferon regulatory factor 7
ILMN_1804662	0.01575303	4.49e-05	4.87	2.09585	5.00e-01	291463302	NRG4	neuregulin 4
ILMN_3234997	0.01579853	4.58e-05	4.86	2.07852	4.67e-01	556503437	MAP7D1	MAP7 domain containing 1
ILMN_1707236	0.01579853	4.58e-05	4.86	2.07812	4.00e-01	296011042	HCCS	holocytochrome c synthase
ILMN_1695731	0.01579853	4.61e-05	4.86	2.0733	4.92e-01	222352112	TUBG1	tubulin gamma 1
ILMN_1772929	0.01632909	4.83e-05	4.84	2.02982	2.25e-01	51479140	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6
ILMN_1785618	0.01632909	4.87e-05	4.84	2.02307	6.17e-01	333360853	SMTN	smoothelin
ILMN_1721495	0.01632909	4.90e-05	4.84	2.01687	4.33e-01	223718256	ADAMTSL2	ADAMTS like 2
ILMN_1699022	0.01632909	4.93e-05	4.84	2.01115	4.42e-01	296080748	ENDOD1	endonuclease domain containing 1
ILMN_2322986	0.01632909	4.93e-05	-4.84	2.01106	-3.08e-01	387849366	MINA	MYC induced nuclear antigen
ILMN_1763265	0.01717423	5.23e-05	-4.81	1.95837	-7.00e-01	194097480	CHMP1B	charged multivesicular body protein 1B
ILMN_2085722	0.01717423	5.26e-05	4.81	1.95268	5.25e-01	634743237	ING2	inhibitor of growth family member 2
ILMN_1813938	0.01735223	5.35e-05	4.81	1.93709	3.92e-01	148612891	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4
ILMN_1764803	0.01765777	5.53e-05	4.79	1.90718	5.00e-01	109948303	SMU1	DNA replication regulator and spliceosomal factor
ILMN_1665865	0.01765777	5.55e-05	-4.79	1.90448	-6.83e-01	62243289	IGFBP4	insulin like growth factor binding protein 4
ILMN_1770084	0.01765777	5.57e-05	4.79	1.9006	3.92e-01	170763516	TACC1	transforming acidic coiled-coil containing protein 1
ILMN_1653165	0.01765777	5.60e-05	4.79	1.89673	7.92e-01	700584727	AAMP	angio associated migratory cell protein
ILMN_1803882	0.01803876	5.76e-05	4.78	1.87122	3.42e-01	284172449	VEGFA	vascular endothelial growth factor A
ILMN_1775136	0.01803876	5.79e-05	4.78	1.86535	4.00e-01	749385018	LSMEM2	leucine rich single-pass membrane protein 2
ILMN_1705953	0.01808612	5.85e-05	4.77	1.85616	2.83e-01	87080812	LONRF1	LON peptidase N-terminal domain and ring finger 1
ILMN_1782890	0.01808612	5.89e-05	4.77	1.85111	2.58e-01	223718115	SLC25A3	solute carrier family 25 member 3
ILMN_1764709	0.01849636	6.08e-05	4.76	1.82101	7.17e-01	519666813	MAFB	MAF bZIP transcription factor B
ILMN_1684694	0.01849636	6.10e-05	4.76	1.81905	7.42e-01	215598826	ANK1	ankyrin 1
ILMN_1708858	0.01865435	6.26e-05	-4.75	1.79497	-3.67e-01	40549400	CSNK1E	casein kinase 1 epsilon
ILMN_1771627	0.01865435	6.27e-05	-4.75	1.79405	-3.58e-01	215599221	ZMIZ1	zinc finger MIZ-type containing 1
ILMN_1777325	0.01865435	6.27e-05	-4.75	1.79405	-3.58e-01	189458859	STAT1	signal transducer and activator of transcription 1
ILMN_1691156	0.01882887	6.37e-05	-4.74	1.77991	-1.21	71274112	MT1A	metallothionein 1A
ILMN_1703074	0.01888299	6.42e-05	-4.74	1.77165	-2.67e-01	315138988	CPD	carboxypeptidase D
ILMN_1733176	0.01897537	6.53e-05	-4.73	1.75656	-7.58e-01	336455029	LIMS1	LIM zinc finger domain containing 1
ILMN_3307025	0.01897537	6.54e-05	4.73	1.7553	2.25e-01	197304684	ZDHHC4	zinc finger DHHC-type containing 4
ILMN_1692177	0.01897537	6.62e-05	-4.73	1.74393	-1.49	345090982	TSC22D1	TSC22 domain family member 1
ILMN_2349600	0.01897537	6.68e-05	-4.72	1.73626	-2.42e-01	NA		
ILMN_1740430	0.01897537	6.73e-05	4.72	1.7294	2.58e-01	39777592	SLC2A4RG	SLC2A4 regulator
ILMN_2089616	0.01897537	6.78e-05	-4.72	1.72328	-7.00e-01	124244082	FBXO10	F-box protein 10
ILMN_1780663	0.01897537	6.79e-05	-4.72	1.72098	-6.25e-01	284413701	KLHL30	kelch like family member 30
ILMN_1680618	0.01897537	6.82e-05	-4.72	1.71716	-1.69	239582723	MYC	v-myc avian myelocytomatosis viral oncogene homolog
ILMN_1693352	0.01897537	6.84e-05	4.71	1.71524	2.67e-01	169403972	MRPL20	mitochondrial ribosomal protein L20
ILMN_3202024	0.01897537	6.90e-05	-4.71	1.707	-8.67e-01	NA		
ILMN_3243664	0.01897537	6.90e-05	-4.71	1.7069	-5.42e-01	NA		
ILMN_1692568	0.01897537	6.95e-05	4.71	1.70061	6.25e-01	NA		
ILMN_1746579	0.01897537	6.98e-05	-4.71	1.69572	-2.75e-01	192449448	UBE2O	ubiquitin conjugating enzyme E2 O
ILMN_1705144	0.01897537	7.05e-05	-4.70	1.68733	-4.33e-01	225637564	ULK1	unc-51 like autophagy activating kinase 1
ILMN_1726786	0.01897537	7.06e-05	4.70	1.68638	4.75e-01	148491079	TNRC6B	trinucleotide repeat containing 6B
ILMN_2165473	0.01901644	7.11e-05	-4.70	1.67928	-8.08e-01	544186084	MID1IP1	MID1 interacting protein 1
ILMN_2205211	0.01919795	7.23e-05	-4.69	1.66492	-8.67e-01	NA		
ILMN_1751425	0.01919795	7.30e-05	4.69	1.65564	2.83e-01	55749803	ERMP1	endoplasmic reticulum metallopeptidase 1
ILMN_1684982	0.01919795	7.34e-05	-4.69	1.65071	-1.80	94421466	PDK4	pyruvate dehydrogenase kinase 4
ILMN_1665307	0.01919795	7.34e-05	-4.69	1.65038	-2.58e-01	70906425	AMPD3	adenosine monophosphate deaminase 3
ILMN_2285952	0.0195347	7.51e-05	4.68	1.6296	2.00e-01	NA		
ILMN_1712023	0.01979741	7.66e-05	-4.67	1.6125	-7.67e-01	537361019	SLC8A3	solute carrier family 8 member A3
ILMN_1731224	0.02008687	7.81e-05	-4.66	1.59438	-4.50e-01	226371705	PARP9	poly(ADP-ribose) polymerase family member 9
ILMN_1782845	0.02022115	7.91e-05	-4.66	1.58341	-3.08e-01	266452834	SPTB	spectrin beta, erythrocytic
ILMN_1870041	0.02036568	8.00e-05	-4.66	1.57206	-3.33e-01	3183900		
ILMN_1788604	0.0207654	8.21e-05	-4.65	1.54955	-4.33e-01	95089415	WBP2	WW domain binding protein 2
ILMN_1705627	0.02135731	8.51e-05	4.63	1.51606	3.25e-01	188528691	USP2	ubiquitin specific peptidase 2
ILMN_1793712	0.02135731	8.53e-05	4.63	1.51438	2.42e-01	332078537	SCAMP3	secretory carrier membrane protein 3
ILMN_1794046	0.02147882	8.63e-05	4.63	1.50339	3.08e-01	240848542	MTX2	metaxin 2
ILMN_2340259	0.02147882	8.76e-05	-4.62	1.4904	-2.43	82799480	PDE4B	phosphodiesterase 4B
ILMN_1671703	0.02147882	8.77e-05	4.62	1.48941	1.50	213688378	ACTA2	actin, alpha 2, smooth muscle, aorta
ILMN_3270641	0.02147882	8.78e-05	-4.62	1.48804	-3.00e-01	186287286	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3
ILMN_1726981	0.02147882	8.81e-05	4.62	1.48465	3.83e-01	344179104	VEGFB	vascular endothelial growth factor B
ILMN_1751084	0.02147882	8.89e-05	4.62	1.4769	1.06	529250157	FSD2	fibronectin type III and SPRY domain containing 2
ILMN_1790794	0.02147882	8.93e-05	-4.61	1.47292	-6.83e-01	543583731	BEST3	bestrophin 3
ILMN_2327947	0.02147882	8.94e-05	4.61	1.4716	3.92e-01	394953809	SLC25A25	solute carrier family 25 member 25
ILMN_1676893	0.02153326	9.05e-05	-4.61	1.46041	-4.58e-01	1002341783	ADCY3	adenylate cyclase 3
ILMN_2278819	0.02153326	9.06e-05	4.61	1.46014	3.75e-01	341823662	PDE7A	phosphodiesterase 7A
ILMN_2321416	0.02168184	9.16e-05	-4.60	1.44935	-9.75e-01	189083689	DIAPH1	diaphanous related formin 1
ILMN_1709486	0.02189321	9.30e-05	-4.60	1.43601	-5.25e-01	282721073	SRPX	sushi repeat containing protein, X-linked
ILMN_1761764	0.02203391	9.41e-05	4.59	1.42569	3.17e-01	304307769	ALKBH7	alkB homolog 7
ILMN_1724984	0.02230362	9.57e-05	-4.59	1.41017	-1.83e-01	927028873	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3
ILMN_1745964	0.02296699	9.91e-05	-4.57	1.37792	-6.75e-01	58530885	IRAK2	interleukin 1 receptor associated kinase 2
ILMN_1787127	0.02296699	9.95e-05	-4.57	1.37466	-8.58e-01	548960615	SLC43A2	solute carrier family 43 member 2
ILMN_1714083	0.02324654	1.01e-04	-4.57	1.35927	-5.67e-01	635172832	KLHL8	kelch like family member 8
ILMN_1772278	0.02347571	1.03e-04	-4.56	1.34597	-2.42e-01	225543460	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1
ILMN_1660793	0.02376913	1.04e-04	4.56	1.33032	5.25e-01	548961479	PAQR4	progestin and adipoQ receptor family member 4
ILMN_2376520	0.02389674	1.06e-04	4.55	1.3211	3.42e-01	299115174	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha
ILMN_2349831	0.02396578	1.06e-04	-4.55	1.31415	-2.58e-01	618468327	DICER1	dicer 1, ribonuclease III
ILMN_2103591	0.0240248	1.07e-04	-4.55	1.3076	-3.25e-01	1002341777	MORC2	MORC family CW-type zinc finger 2
ILMN_2119486	0.0240248	1.08e-04	-4.54	1.29814	-3.08e-01	215599966	DMTF1	cyclin D binding myb like transcription factor 1
ILMN_1790909	0.0240248	1.09e-04	-4.54	1.29596	-6.42e-01	372620346	NFE2L2	nuclear factor, erythroid 2 like 2
ILMN_1718718	0.0240248	1.09e-04	4.54	1.29479	4.33e-01	393290879	MKKS	McKusick-Kaufman syndrome
ILMN_1757552	0.02413785	1.10e-04	4.54	1.2863	3.83e-01	266457267	PTRF	polymerase I and transcript release factor
ILMN_3307906	0.02417161	1.10e-04	4.53	1.27976	5.50e-01	197313789	PALMD	palmdelphin
ILMN_1716093	0.02417161	1.11e-04	4.53	1.27328	3.08e-01	195972865	KRT10	keratin 10
ILMN_1689908	0.02417161	1.11e-04	-4.53	1.27245	-3.00e-01	38683798	ANKRD13A	ankyrin repeat domain 13A
ILMN_1664912	0.02495963	1.16e-04	4.52	1.23845	4.33e-01	NA		
ILMN_1746704	0.02495963	1.16e-04	-4.52	1.23504	-3.50e-01	148596967	TRIM8	tripartite motif containing 8
ILMN_1812559	0.02519212	1.18e-04	-4.51	1.22015	-5.00e-01	342672033	SLC7A6	solute carrier family 7 member 6
ILMN_1656395	0.02519212	1.18e-04	4.51	1.21824	4.42e-01	209693442	MYOT	myotilin
ILMN_1891851	0.02519212	1.19e-04	4.51	1.21433	1.75e-01	24777443		
ILMN_1706957	0.02520315	1.20e-04	4.50	1.20662	3.50e-01	41349436	BMPR1A	bone morphogenetic protein receptor type 1A
ILMN_1736670	0.02520315	1.20e-04	4.50	1.20105	1.02	349732222	PPP1R3C	protein phosphatase 1 regulatory subunit 3C
ILMN_1756071	0.02520315	1.21e-04	4.50	1.20048	3.42e-01	874507471	MFGE8	milk fat globule-EGF factor 8 protein
